"adresseid","distance_min_m","nombre_bornes_proches"
140,"44.32575941","1"
141,"51.38469077","2"
142,"48.95489745","3"
143,"14.99578226","2"
144,"47.50606476","2"
145,"14.37610163","1"
146,"33.99012639","3"
147,"53.4841949","2"
148,"39.39665215","1"
149,"72.78873709","2"
150,"42.55955455","3"
151,"40.99631268","3"
152,"90.42629971","1"
153,"68.43527412","1"
154,"40.72961055","2"
156,"53.90814746","1"
157,"41.64457831","3"
158,"46.38829546","1"
159,"81.73509259","1"
161,"82.15459872","3"
162,"33.42524317","3"
163,"24.67852091","3"
164,"14.71901429","3"
165,"52.38112319","3"
166,"37.78892911","2"
167,"32.31972083","2"
168,"67.16737476","4"
169,"67.8497673","3"
170,"59.47291973","3"
171,"66.03817903","4"
172,"67.35658252","5"
173,"30.93601567","2"
174,"29.84456879","3"
175,"26.6876697","2"
176,"15.87839909","3"
177,"50.18930594","3"
178,"60.43928782","3"
179,"54.49882446","2"
180,"39.94003414","2"
181,"26.93031407","1"
182,"13.71270391","2"
183,"66.96873229","3"
184,"53.78213751","3"
185,"60.77318202","3"
186,"69.86622188","4"
187,"67.83024828","4"
188,"69.63675423","4"
189,"49.34794549","2"
190,"17.7192763","3"
191,"53.02111537","4"
192,"47.02944881","2"
193,"39.97231339","3"
194,"15.7436176","3"
195,"17.92409577","2"
196,"56.2271026","2"
197,"71.15330516","3"
198,"55.87247378","3"
199,"29.28684464","1"
200,"44.45422552","3"
201,"19.87049989","1"
202,"36.03260325","2"
203,"19.84484318","1"
204,"33.01200617","2"
205,"29.184793","1"
206,"36.59558757","2"
207,"42.13889463","1"
208,"45.33048434","2"
209,"32.31989376","2"
210,"56.80209716","3"
211,"25.13950982","3"
212,"44.47227199","3"
213,"30.23526539","3"
214,"55.57770435","3"
215,"31.17885989","3"
216,"43.14236401","3"
217,"39.99369993","3"
218,"17.81776386","3"
219,"58.14437108","2"
220,"31.0098038","3"
221,"21.13070668","2"
222,"66.91605993","3"
223,"25.30228602","2"
224,"62.79823979","3"
225,"27.98867","2"
226,"37.23166734","2"
227,"63.18357199","2"
228,"31.19415906","2"
229,"13.79457655","2"
230,"42.39149058","2"
231,"25.7520595","2"
232,"57.31925742","3"
233,"40.6515419","2"
234,"69.2350418","3"
235,"55.60930446","2"
236,"72.98879743","3"
237,"69.75544888","2"
238,"65.75846151","2"
239,"75.15330165","3"
240,"58.10273406","3"
241,"36.57411549","2"
242,"24.36805767","3"
243,"26.66522454","3"
244,"28.7605651","2"
245,"14.46814178","3"
246,"41.18028242","4"
247,"29.61361575","3"
248,"16.28862129","2"
249,"55.02953159","4"
250,"36.6117987","3"
251,"27.98731329","2"
252,"65.96972249","3"
253,"49.16717364","3"
254,"46.36273103","2"
255,"181.57512703","0"
256,"37.90892972","1"
257,"44.64113847","1"
258,"53.56169379","1"
259,"63.45867187","2"
260,"47.38885817","3"
261,"50.01614853","2"
262,"13.06464962","3"
263,"34.09834575","2"
264,"72.8021164","2"
265,"26.87611702","4"
266,"62.92934045","2"
267,"39.00810203","1"
268,"31.72076196","1"
269,"40.90388416","3"
270,"49.05528498","3"
271,"41.09252867","3"
272,"52.45670114","3"
273,"51.73745064","2"
274,"54.6177765","3"
275,"35.76896175","2"
276,"60.30555798","3"
277,"46.28066903","2"
278,"33.74857259","1"
279,"24.37501802","1"
280,"22.79255781","1"
281,"30.0595106","2"
282,"69.58824437","4"
283,"70.29005595","3"
284,"58.46521795","3"
285,"47.56564237","2"
286,"39.64665759","3"
287,"36.62739636","3"
288,"41.21650085","3"
289,"51.59961779","3"
290,"44.6343856","2"
291,"24.87374717","2"
292,"37.68400787","3"
293,"45.82885092","3"
294,"55.63993157","3"
295,"51.84650565","3"
296,"33.59537169","3"
297,"14.54734753","3"
298,"67.72510645","3"
299,"56.79038465","3"
300,"45.91346001","3"
301,"34.71628108","2"
302,"24.47582305","2"
303,"67.83506126","1"
304,"53.27471024","1"
305,"53.85603988","2"
306,"39.52284514","2"
307,"19.70168658","1"
308,"22.67038653","1"
309,"23.55351801","1"
310,"18.33603351","1"
311,"66.8638034","2"
312,"41.16821802","1"
313,"16.73109491","2"
314,"69.88859687","2"
315,"64.42244126","3"
316,"78.22776962","2"
317,"69.74412027","2"
318,"44.43782328","2"
319,"37.63410938","2"
320,"25.39977932","2"
321,"14.56561006","2"
322,"13.35272383","1"
323,"25.56752596","2"
324,"38.69670709","2"
325,"46.11576842","2"
326,"27.69860285","2"
327,"14.36037943","1"
328,"42.19291708","2"
329,"27.84871246","2"
330,"13.31042674","2"
331,"40.8057842","1"
332,"55.0243617","2"
333,"73.82948882","2"
334,"70.0696629","3"
335,"64.44720005","2"
336,"45.5167395","2"
337,"35.48948872","3"
338,"26.60735472","2"
339,"27.88130263","2"
340,"33.66728429","2"
341,"45.77689597","2"
342,"58.17223151","3"
343,"24.80643401","2"
344,"18.03462093","1"
345,"33.18384174","2"
346,"47.74118538","3"
347,"61.16727153","3"
348,"61.07660183","3"
349,"55.22857687","3"
350,"40.97537546","2"
